Normal,Foil,Name,Set,Card Number,Color,Rarity,Price,Foil Price,Title,SubTitle
6,1,Jafar*Keeper of Secrets,1,44,Amethyst,Rare,$0.23,$1.14,Jafar,Keeper of Secrets
16,1,Jafar*Wicked Sorcerer,1,45,Amethyst,Common,$0.06,$0.26,Jafar,Wicked Sorcerer
17,1,Jetsam*Ursula's Spy,1,46,Amethyst,Common,$0.07,$0.20,Jetsam,Ursula's Spy
21,1,Magic Broom*Bucket Brigade,1,47,Amethyst,Common,$0.06,$0.34,Magic Broom,Bucket Brigade
8,0,Maleficent*Biding Her Time,1,48,Amethyst,Rare,$3.88,$6.47,Maleficent,Biding Her Time
18,0,Maleficent*Sorceress,1,49,Amethyst,Common,$0.11,$0.63,Maleficent,Sorceress
5,0,Marshmallow*Persistent Guardian,1,50,Amethyst,Super Rare,$0.20,$0.98,Marshmallow,Persistent Guardian
5,2,Mickey Mouse*Wayward Sorcerer,1,51,Amethyst,Super Rare,$0.78,$0.92,Mickey Mouse,Wayward Sorcerer
14,0,Olaf*Friendly Snowman,1,52,Amethyst,Uncommon,$0.08,$1.20,Olaf,Friendly Snowman
19,1,Pascal*Rapunzel's Companion,1,53,Amethyst,Uncommon,$0.13,$1.16,Pascal,Rapunzel's Companion
16,0,Rafiki*Mysterious Sage,1,54,Amethyst,Uncommon,$0.10,$0.38,Rafiki,Mysterious Sage
9,1,Sven*Official Ice Deliverer,1,55,Amethyst,Uncommon,$0.08,$0.32,Sven,Official Ice Deliverer
7,0,The Queen*Wicked and Vain,1,56,Amethyst,Super Rare,$0.25,$1.02,The Queen,Wicked and Vain
18,0,The Wardrobe*Belle's Confidant,1,57,Amethyst,Common,$0.05,$0.24,The Wardrobe,Belle's Confidant
13,0,Tinker Bell*Peter Pan's Ally,1,58,Amethyst,Common,$0.09,$0.31,Tinker Bell,Peter Pan's Ally
5,0,Ursula*Power Hungry,1,59,Amethyst,Legendary,$1.29,$11.62,Ursula,Power Hungry
15,1,Yzma*Alchemist,1,60,Amethyst,Common,$0.08,$0.24,Yzma,Alchemist
6,0,Zeus*God of Lightning,1,61,Amethyst,Rare,$0.23,$1.02,Zeus,God of Lightning
8,1,Befuddle,1,62,Amethyst,Uncommon,$0.51,$2.27,Befuddle,
18,1,Freeze,1,63,Amethyst,Common,$0.10,$0.31,Freeze,
20,2,Friends on the Other Side,1,64,Amethyst,Common,$0.27,$4.87,Friends on the Other Side,
9,1,Reflection,1,65,Amethyst,Uncommon,$0.09,$0.43,Reflection,
6,1,Magic Mirror,1,66,Amethyst,Rare,$0.20,$0.68,Magic Mirror,
10,0,Ursula's Cauldron,1,67,Amethyst,Uncommon,$0.12,$0.42,Ursula's Cauldron,
6,0,White Rabbit's Pocket Watch,1,68,Amethyst,Rare,$0.20,$0.86,White Rabbit's Pocket Watch,
14,1,Aladdin*Prince Ali,1,69,Emerald,Common,$0.06,$0.22,Aladdin,Prince Ali
6,1,Beast*Wolfsbane,1,70,Emerald,Legendary,$1.87,$13.21,Beast,Wolfsbane
9,3,Cheshire Cat*Not All There,1,71,Emerald,Uncommon,$0.22,$0.72,Cheshire Cat,Not All There
9,3,Cruella De Vil*Miserable as Usual,1,72,Emerald,Rare,$0.19,$0.19,Cruella De Vil,Miserable as Usual
14,1,Duke of Weselton*Opportunistic Official,1,73,Emerald,Common,$0.06,$0.19,Duke of Weselton,Opportunistic Official
10,1,Flynn Rider*Charming Rogue,1,74,Emerald,Uncommon,$0.52,$1.55,Flynn Rider,Charming Rogue
6,1,Genie*On the Job,1,75,Emerald,Super Rare,$0.43,$1.86,Genie,On the Job
7,0,Genie*Powers Unleashed,1,76,Emerald,Rare,$0.23,$1.04,Genie,Powers Unleashed
13,1,Genie*The Ever Impressive,1,77,Emerald,Common,$0.07,$0.22,Genie,The Ever Impressive
5,0,Hans*Scheming Prince,1,78,Emerald,Rare,$0.26,$1.08,Hans,Scheming Prince
18,1,Horace*No-Good Scoundrel,1,79,Emerald,Common,$0.06,$0.21,Horace,No-Good Scoundrel
7,4,Iago*Loud-Mouthed Parrot,1,80,Emerald,Rare,$0.13,$0.59,Iago,Loud-Mouthed Parrot
18,0,Jasper*Common Crook,1,81,Emerald,Uncommon,$0.07,$0.34,Jasper,Common Crook
5,0,John Silver*Alien Pirate,1,82,Emerald,Legendary,$2.54,$12.66,John Silver,Alien Pirate
6,1,Jumba Jookiba*Renegade Scientist,1,83,Emerald,Uncommon,$0.08,$0.28,Jumba Jookiba,Renegade Scientist
8,1,Kuzco*Temperamental Emperor,1,84,Emerald,Rare,$0.36,$1.15,Kuzco,Temperamental Emperor
4,1,Lady Tremaine*Wicked Stepmother,1,85,Emerald,Rare,$0.21,$1.24,Lady Tremaine,Wicked Stepmother
16,0,Mad Hatter*Gracious Host,1,86,Emerald,Uncommon,$0.08,$0.42,Mad Hatter,Gracious Host
14,2,Megara*Pulling the Strings,1,87,Emerald,Common,$0.04,$0.23,Megara,Pulling the Strings
7,0,Mickey Mouse*Artful Rogue,1,88,Emerald,Super Rare,$0.29,$1.49,Mickey Mouse,Artful Rogue
17,2,Mickey Mouse*Steamboat Pilot,1,89,Emerald,Common,$0.06,$0.32,Mickey Mouse,Steamboat Pilot
5,2,Mother Gothel*Selfish Manipulator,1,90,Emerald,Super Rare,$0.41,$1.07,Mother Gothel,Selfish Manipulator
15,0,Peter Pan*Never Landing,1,91,Emerald,Common,$0.06,$0.23,Peter Pan,Never Landing
7,1,Tamatoa*Drab Little Crab,1,92,Emerald,Uncommon,$0.09,$0.42,Tamatoa,Drab Little Crab
12,1,Tinker Bell*Most Helpful,1,93,Emerald,Common,$0.10,$0.32,Tinker Bell,Most Helpful
5,0,Do It Again!,1,94,Emerald,Rare,$0.26,$1.21,Do It Again!,
18,1,Mother Knows Best,1,95,Emerald,Uncommon,$0.10,$1.14,Mother Knows Best,
16,0,Stampede,1,96,Emerald,Common,$0.07,$0.19,Stampede,
9,1,Steal from the Rich,1,97,Emerald,Rare,$0.13,$0.61,Steal from the Rich,
11,1,Sudden Chill,1,98,Emerald,Common,$0.18,$1.25,Sudden Chill,
9,0,The Beast is Mine!,1,99,Emerald,Uncommon,$0.09,$0.35,The Beast is Mine!,
15,1,Vicious Betrayal,1,100,Emerald,Common,$0.07,$0.23,Vicious Betrayal,
10,1,Dr. Facilier's Cards,1,101,Emerald,Uncommon,$0.09,$0.35,Dr. Facilier's Cards,
16,1,Stolen Scimitar,1,102,Emerald,Common,$0.07,$0.19,Stolen Scimitar,
12,0,Abu*Mischievous Monkey,1,103,Ruby,Common,$0.07,$0.23,Abu,Mischievous Monkey
8,1,Aladdin*Heroic Outlaw,1,104,Ruby,Super Rare,$0.35,$0.35,Aladdin,Heroic Outlaw
11,1,Aladdin*Street Rat,1,105,Ruby,Common,$0.08,$0.28,Aladdin,Street Rat
11,2,Captain*Colonel's Lieutenant,1,106,Ruby,Uncommon,$0.06,$0.27,Captain,Colonel's Lieutenant
6,1,Captain Hook*Ruthless Pirate,1,107,Ruby,Rare,$0.20,$0.84,Captain Hook,Ruthless Pirate
11,0,Donald Duck*Boisterous Fowl,1,108,Ruby,Uncommon,$0.06,$0.44,Donald Duck,Boisterous Fowl
12,1,Elsa*Ice Surfer,1,109,Ruby,Common,$0.06,$0.26,Elsa,Ice Surfer
13,2,Gaston*Arrogant Hunter,1,110,Ruby,Common,$0.11,$0.35,Gaston,Arrogant Hunter
10,1,Goofy*Daredevil,1,111,Ruby,Common,$0.09,$0.20,Goofy,Daredevil
5,0,LeFou*Instigator,1,112,Ruby,Rare,$0.22,$1.85,LeFou,Instigator
5,0,Maleficent*Monstrous Dragon,1,113,Ruby,Legendary,$19.34,$86.79,Maleficent,Monstrous Dragon
10,0,Maui*Hero to All,1,114,Ruby,Rare,$8.53,$16.11,Maui,Hero to All
4,0,Mickey Mouse*Brave Little Tailor,1,115,Ruby,Legendary,$3.38,$31.19,Mickey Mouse,Brave Little Tailor
14,1,Minnie Mouse*Always Classy,1,116,Ruby,Common,$0.08,$0.30,Minnie Mouse,Always Classy
7,1,Moana*Chosen by the Ocean,1,117,Ruby,Uncommon,$0.11,$0.47,Moana,Chosen by the Ocean
5,0,Mulan*Imperial Soldier,1,118,Ruby,Super Rare,$0.30,$0.36,Mulan,Imperial Soldier
12,1,Peter Pan*Fearless Fighter,1,119,Ruby,Common,$0.07,$0.21,Peter Pan,Fearless Fighter
17,0,Pongo*Ol' Rascal,1,120,Ruby,Common,$0.05,$0.33,Pongo,Ol' Rascal
11,0,Rapunzel*Letting Down Her Hair,1,121,Ruby,Uncommon,$0.08,$0.42,Rapunzel,Letting Down Her Hair
16,3,Scar*Fiery Usurper,1,122,Ruby,Common,$0.11,$0.23,Scar,Fiery Usurper
7,1,Scar*Shameless Firebrand,1,123,Ruby,Rare,$0.25,$1.08,Scar,Shameless Firebrand
10,1,Sergeant Tibbs*Courageous Cat,1,124,Ruby,Common,$0.09,$0.29,Sergeant Tibbs,Courageous Cat
6,0,Stitch*Abomination,1,125,Ruby,Rare,$0.15,$1.40,Stitch,Abomination
7,0,Te Kā*The Burning One,1,126,Ruby,Super Rare,$0.19,$1.01,Te Kā,The Burning One
8,2,Tigger*Wonderful Thing,1,127,Ruby,Uncommon,$0.08,$0.47,Tigger,Wonderful Thing
8,0,Be Prepared,1,128,Ruby,Rare,$11.02,$25.63,Be Prepared,
8,0,Cut to the Chase,1,129,Ruby,Uncommon,$0.10,$0.41,Cut to the Chase,
9,1,Dragon Fire,1,130,Ruby,Uncommon,$0.12,$0.73,Dragon Fire,
10,1,Fan the Flames,1,131,Ruby,Uncommon,$0.12,$0.69,Fan the Flames,
13,2,He's Got a Sword!,1,132,Ruby,Common,$0.04,$0.23,He's Got a Sword!,
11,0,Tangle,1,133,Ruby,Common,$0.09,$0.23,Tangle,
5,0,Poisoned Apple,1,134,Ruby,Rare,$0.26,$1.17,Poisoned Apple,
12,0,Shield of Virtue,1,135,Ruby,Uncommon,$0.10,$0.70,Shield of Virtue,
5,1,Sword of Truth,1,136,Ruby,Rare,$0.19,$0.79,Sword of Truth,
6,1,Ariel*Whoseit Collector,1,137,Sapphire,Rare,$0.43,$1.91,Ariel,Whoseit Collector
17,1,Aurora*Briar Rose,1,138,Sapphire,Common,$0.05,$0.24,Aurora,Briar Rose
7,1,Aurora*Dreaming Guardian,1,139,Sapphire,Super Rare,$0.32,$0.32,Aurora,Dreaming Guardian
14,1,Aurora*Regal Princess,1,140,Sapphire,Uncommon,$0.09,$0.57,Aurora,Regal Princess
8,2,Belle*Inventive Engineer,1,141,Sapphire,Uncommon,$0.10,$0.63,Belle,Inventive Engineer
4,1,Belle*Strange but Special,1,142,Sapphire,Legendary,$12.79,$33.08,Belle,Strange but Special
8,0,Chief Tui*Respected Leader,1,143,Sapphire,Uncommon,$0.12,$0.42,Chief Tui,Respected Leader
12,1,Donald Duck*Strutting His Stuff,1,144,Sapphire,Common,$0.07,$0.23,Donald Duck,Strutting His Stuff
17,2,Flounder*Voice of Reason,1,145,Sapphire,Common,$0.08,$0.22,Flounder,Voice of Reason
14,0,Gramma Tala*Storyteller,1,146,Sapphire,Uncommon,$0.15,$1.03,Gramma Tala,Storyteller
5,1,Hades*Infernal Schemer,1,147,Sapphire,Legendary,$11.79,$32.47,Hades,Infernal Schemer
14,1,Jasmine*Disguised,1,148,Sapphire,Common,$0.04,$0.22,Jasmine,Disguised
7,0,Jasmine*Queen of Agrabah,1,149,Sapphire,Rare,$0.31,$1.95,Jasmine,Queen of Agrabah
16,2,Maleficent*Sinister Visitor,1,150,Sapphire,Common,$0.07,$0.26,Maleficent,Sinister Visitor
5,1,Maleficent*Uninvited,1,151,Sapphire,Rare,$0.13,$0.99,Maleficent,Uninvited
4,1,Maurice*World-Famous Inventor,1,152,Sapphire,Rare,$0.31,$1.43,Maurice,World-Famous Inventor
12,1,Merlin*Self-Appointed Mentor,1,153,Sapphire,Common,$0.08,$0.25,Merlin,Self-Appointed Mentor
17,1,Mickey Mouse*Detective,1,154,Sapphire,Common,$0.11,$0.47,Mickey Mouse,Detective
16,0,Mufasa*King of the Pride Lands,1,155,Sapphire,Common,$0.08,$0.25,Mufasa,King of the Pride Lands
15,2,Philoctetes*Trainer of Heroes,1,156,Sapphire,Common,$0.06,$0.28,Philoctetes,Trainer of Heroes
4,1,Robin Hood*Unrivaled Archer,1,157,Sapphire,Super Rare,$0.32,$1.94,Robin Hood,Unrivaled Archer
5,0,Scar*Mastermind,1,158,Sapphire,Rare,$0.12,$0.78,Scar,Mastermind
6,2,Tamatoa*So Shiny!,1,159,Sapphire,Super Rare,$5.61,$14.88,Tamatoa,So Shiny!
9,0,Triton*The Sea King,1,160,Sapphire,Uncommon,$0.08,$0.31,Triton,The Sea King
21,1,Develop Your Brain,1,161,Sapphire,Common,$0.13,$1.12,Develop Your Brain,
5,0,If it's Not Baroque,1,162,Sapphire,Rare,$0.19,$0.86,If it's Not Baroque,
6,0,Let it Go,1,163,Sapphire,Rare,$1.08,$7.15,Let it Go,
9,0,One Jump Ahead,1,164,Sapphire,Uncommon,$0.15,$2.73,One Jump Ahead,
14,0,Work Together,1,165,Sapphire,Common,$0.07,$0.23,Work Together,
13,2,Coconut Basket,1,166,Sapphire,Uncommon,$0.04,$0.32,Coconut Basket,
9,2,Eye of the Fates,1,167,Sapphire,Uncommon,$0.15,$0.71,Eye of the Fates,
7,0,Fishbone Quill,1,168,Sapphire,Rare,$5.39,$16.43,Fishbone Quill,
15,3,Magic Golden Flower,1,169,Sapphire,Common,$0.06,$0.25,Magic Golden Flower,
10,1,Scepter of Arendelle,1,170,Sapphire,Uncommon,$0.12,$0.41,Scepter of Arendelle,
9,0,Aladdin*Cornered Swordsman,1,171,Steel,Common,$0.09,$0.21,Aladdin,Cornered Swordsman
12,2,Beast*Hardheaded,1,172,Steel,Uncommon,$0.07,$0.56,Beast,Hardheaded
8,0,Captain Hook*Captain of the Jolly Roger,1,173,Steel,Rare,$0.31,$1.00,Captain Hook,Captain of the Jolly Roger
18,1,Captain Hook*Forceful Duelist,1,174,Steel,Common,$0.17,$1.42,Captain Hook,Forceful Duelist
6,0,Captain Hook*Thinking a Happy Thought,1,175,Steel,Rare,$0.34,$1.78,Captain Hook,Thinking a Happy Thought
11,0,Cerberus*Three-Headed Dog,1,176,Steel,Common,$0.05,$0.34,Cerberus,Three-Headed Dog
9,0,Donald Duck*Musketeer,1,177,Steel,Uncommon,$0.12,$0.52,Donald Duck,Musketeer
4,0,Gantu*Galactic Federation Captain,1,178,Steel,Legendary,$1.14,$9.23,Gantu,Galactic Federation Captain
19,1,Goons*Maleficent's Underlings,1,179,Steel,Common,$0.06,$0.19,Goons,Maleficent's Underlings
5,0,Hans*Thirteenth in Line,1,180,Steel,Super Rare,$0.30,$1.30,Hans,Thirteenth in Line
12,1,Hercules*True Hero,1,181,Steel,Common,$0.09,$0.29,Hercules,True Hero
14,3,Kristoff*Official Ice Master,1,182,Steel,Common,$0.06,$0.20,Kristoff,Official Ice Master
9,2,Kronk*Right-Hand Man,1,183,Steel,Uncommon,$0.09,$0.32,Kronk,Right-Hand Man
13,0,Lilo*Galactic Hero,1,184,Steel,Uncommon,$0.10,$0.38,Lilo,Galactic Hero
3,1,Maui*Demigod,1,185,Steel,Rare,$0.13,$0.88,Maui,Demigod
6,0,Mickey Mouse*Musketeer,1,186,Steel,Rare,$0.35,$1.40,Mickey Mouse,Musketeer
19,1,Prince Eric*Dashing and Brave,1,187,Steel,Common,$0.05,$0.21,Prince Eric,Dashing and Brave
13,1,Simba*Future King,1,188,Steel,Common,$0.16,$1.05,Simba,Future King
4,1,Simba*Returned King,1,189,Steel,Rare,$0.17,$0.24,Simba,Returned King
11,0,Simba*Rightful Heir,1,190,Steel,Uncommon,$0.08,$0.40,Simba,Rightful Heir
8,1,Starkey*Hook's Henchman,1,191,Steel,Uncommon,$0.12,$0.35,Starkey,Hook's Henchman
5,0,Te Kā*Heartless,1,192,Steel,Legendary,$1.42,$10.73,Te Kā,Heartless
10,2,Tinker Bell*Giant Fairy,1,193,Steel,Super Rare,$6.70,$12.75,Tinker Bell,Giant Fairy
11,1,Tinker Bell*Tiny Tactician,1,194,Steel,Common,$0.14,$0.55,Tinker Bell,Tiny Tactician
8,2,A Whole New World,1,195,Steel,Super Rare,$9.51,$16.69,A Whole New World,
10,0,Break,1,196,Steel,Common,$0.06,$0.21,Break,
17,0,Fire the Cannons!,1,197,Steel,Common,$0.20,$1.57,Fire the Cannons!,
8,0,Grab Your Sword,1,198,Steel,Rare,$1.01,$6.92,Grab Your Sword,
9,0,Ransack,1,199,Steel,Uncommon,$0.11,$0.35,Ransack,
10,0,Smash,1,200,Steel,Uncommon,$0.16,$1.28,Smash,
15,2,Beast's Mirror,1,201,Steel,Common,$0.06,$0.21,Beast's Mirror,
10,0,Frying Pan,1,202,Steel,Uncommon,$0.08,$0.33,Frying Pan,
7,0,Musketeer Tabard,1,203,Steel,Rare,$0.30,$0.85,Musketeer Tabard,
4,1,Plasma Blaster,1,204,Steel,Rare,$0.22,$0.92,Plasma Blaster,
0,0,Hades*King of Olympus,1,205,Amber,Enchanted,$93.13,$93.13,Hades,King of Olympus
0,0,Stitch*Carefree Surfer,1,206,Amber,Enchanted,$276.58,$276.58,Stitch,Carefree Surfer
0,1,Elsa*Spirit of Winter,1,207,Amethyst,Enchanted,$845.60,$845.60,Elsa,Spirit of Winter
0,0,Mickey Mouse*Wayward Sorcerer,1,208,Amethyst,Enchanted,$159.39,$159.39,Mickey Mouse,Wayward Sorcerer
0,0,Genie*On the Job,1,209,Emerald,Enchanted,$114.58,$114.58,Genie,On the Job
0,0,Mickey Mouse*Artful Rogue,1,210,Emerald,Enchanted,$86.50,$86.50,Mickey Mouse,Artful Rogue
0,0,Aladdin*Heroic Outlaw,1,211,Ruby,Enchanted,$96.55,$96.55,Aladdin,Heroic Outlaw
0,0,Maui*Hero to All,1,212,Ruby,Enchanted,$246.49,$246.49,Maui,Hero to All
0,0,Aurora*Dreaming Guardian,1,213,Sapphire,Enchanted,$170.29,$170.29,Aurora,Dreaming Guardian
0,0,Belle*Strange but Special,1,214,Sapphire,Enchanted,$238.09,$238.09,Belle,Strange but Special
0,0,Simba*Returned King,1,215,Steel,Enchanted,$123.22,$123.22,Simba,Returned King
0,2,Tinker Bell*Giant Fairy,1,216,Steel,Enchanted,$279.38,$279.38,Tinker Bell,Giant Fairy
0,0,Mickey Mouse*Brave Little Tailor,P1,P1,Ruby,Promo,"$1,184.00",,Mickey Mouse,Brave Little Tailor
0,0,Stitch*Rock Star,P1,P2,Amber,Promo,$5.22,$5.22,Stitch,Rock Star
0,0,Elsa*Snow Queen,P1,P3,Amethyst,Promo,,,Elsa,Snow Queen
0,0,Cruella de Vil*Miserable As Usual,P1,P4,Emerald,Promo,,,Cruella de Vil,Miserable As Usual
0,0,Maleficent*Monstrous Dragon,P1,P5,Ruby,Promo,,,Maleficent,Monstrous Dragon
0,0,Robin Hood*Unrivaled Archer,P1,P6,Sapphire,Promo,,,Robin Hood,Unrivaled Archer
0,0,Captain Hook*Forceful Duelist,P1,P7,Steel,Promo,,,Captain Hook,Forceful Duelist
0,4,Mickey Mouse*Detective,P1,P8,Sapphire,Promo,$3.15,$3.15,Mickey Mouse,Detective
0,2,Heihei*Boat Snack,P1,P9,Amber,Promo,$2.06,$2.06,Heihei,Boat Snack
0,2,Yzma*Alchemist,P1,P10,Amethyst,Promo,$1.18,$1.18,Yzma,Alchemist
0,0,Mickey Mouse*Musketeer,P1,P11,Steel,Promo,$66.67,,Mickey Mouse,Musketeer
0,0,Goofy*Musketeer,P1,P12,Amber,Promo,$62.07,,Goofy,Musketeer
0,0,Donald Duck*Musketeer,P1,P13,Steel,Promo,$39.30,,Donald Duck,Musketeer
14,0,Bashful*Hopeless Romantic,2,1,Amber,Uncommon,$0.06,$0.32,Bashful,Hopeless Romantic
8,0,Christopher Robin*Adventurer,2,2,Amber,Rare,$0.17,$0.55,Christopher Robin,Adventurer
8,0,Cinderella*Ballroom Sensation,2,3,Amber,Rare,$4.71,$13.59,Cinderella,Ballroom Sensation
7,2,Cobra Bubbles*Just a Social Worker,2,4,Amber,Rare,$0.11,$0.49,Cobra Bubbles,Just a Social Worker
13,1,Doc*Leader of the Seven Dwarfs,2,5,Amber,Uncommon,$0.12,$1.40,Doc,Leader of the Seven Dwarfs
9,1,Dopey*Always Playful,2,6,Amber,Uncommon,$0.06,$0.34,Dopey,Always Playful
10,1,Eudora*Accomplished Seamstress,2,7,Amber,Common,$0.04,$0.17,Eudora,Accomplished Seamstress
11,0,Gaston*Baritone Bully,2,8,Amber,Uncommon,$0.11,$0.61,Gaston,Baritone Bully
8,1,Grand Duke*Advisor to the King,2,9,Amber,Rare,$0.14,$0.68,Grand Duke,Advisor to the King
17,0,Grumpy*Bad-Tempered,2,10,Amber,Common,$0.07,$0.21,Grumpy,Bad-Tempered
17,1,Happy*Good-Natured,2,11,Amber,Common,$0.05,$0.24,Happy,Good-Natured
8,1,King Louie*Jungle VIP,2,12,Amber,Super Rare,$0.12,$0.47,King Louie,Jungle VIP
5,0,Mickey Mouse*Friendly Face,2,13,Amber,Super Rare,$0.21,$0.87,Mickey Mouse,Friendly Face
5,0,Mufasa*Betrayed Leader,2,14,Amber,Legendary,$8.26,$23.00,Mufasa,Betrayed Leader
17,0,Mulan*Free Spirit,2,15,Amber,Common,$0.06,$0.26,Mulan,Free Spirit
7,0,Mulan*Reflecting,2,16,Amber,Rare,$0.32,$1.33,Mulan,Reflecting
9,2,Nana*Darling Family Pet,2,17,Amber,Uncommon,$0.07,$0.30,Nana,Darling Family Pet
14,0,Piglet*Very Small Animal,2,18,Amber,Common,$0.07,$0.23,Piglet,Very Small Animal
10,2,Rapunzel*Gifted Artist,2,19,Amber,Uncommon,$0.20,$0.68,Rapunzel,Gifted Artist
22,1,Rapunzel*Sunshine,2,20,Amber,Common,$0.10,$0.30,Rapunzel,Sunshine
13,3,Sleepy*Nodding Off,2,21,Amber,Common,$0.06,$0.29,Sleepy,Nodding Off
18,2,Sneezy*Very Allergic,2,22,Amber,Common,$0.05,$0.24,Sneezy,Very Allergic
18,2,Snow White*Lost in the Forest,2,23,Amber,Common,$0.08,$0.20,Snow White,Lost in the Forest
11,1,Snow White*Unexpected Houseguest,2,24,Amber,Uncommon,$0.16,$0.54,Snow White,Unexpected Houseguest
5,0,Snow White*Well Wisher,2,25,Amber,Legendary,$2.45,$9.03,Snow White,Well Wisher
7,2,The Queen*Commanding Presence,2,26,Amber,Super Rare,$0.71,$0.92,The Queen,Commanding Presence
16,2,The Queen*Regal Monarch,2,27,Amber,Common,$0.12,$0.98,The Queen,Regal Monarch
13,1,Hold Still,2,28,Amber,Common,$0.06,$0.25,Hold Still,
7,2,Last Stand,2,29,Amber,Uncommon,$0.06,$0.26,Last Stand,
17,0,Painting the Roses Red,2,30,Amber,Common,$0.09,$0.27,Painting the Roses Red,
5,0,World's Greatest Criminal Mind,2,31,Amber,Rare,$0.45,$3.18,World's Greatest Criminal Mind,
8,0,Zero to Hero,2,32,Amber,Uncommon,$0.15,$0.61,Zero to Hero,
7,0,Dragon Gem,2,33,Amber,Rare,$0.13,$0.53,Dragon Gem,
